ID,Trend,Seasonal,Seasonal_Periods,RMSE,MAPE
ACCESORIES_1_178_NYC_4,,add,24,32.693699726271795,99.45318193524406
ACCESORIES_1_371_NYC_4,,add,52,33.92722694452054,84.85049156554015
HOME_&_GARDEN_1_118_NYC_3,,add,5,27.279642029529814,43.45467817010663
SUPERMARKET_1_012_NYC_2,add,add,24,7.032365060448543,59.11838628561673
SUPERMARKET_1_046_PHI_1,add,add,52,7.945202016522419,77.25046711569141
SUPERMARKET_1_085_PHI_1,,add,52,32.421978091008555,61.0958310818688
SUPERMARKET_1_096_PHI_2,add,add,12,18.866229432602186,57.63706277017153
SUPERMARKET_1_218_BOS_2,,add,4,10.399032529856802,59.03968753133344
SUPERMARKET_1_218_NYC_2,add,add,52,40.06362697469062,84.02589927546418
SUPERMARKET_1_218_NYC_4,,add,48,16.38514729931291,80.31879015456144
SUPERMARKET_1_218_PHI_1,,add,12,23.06153848969973,73.24414539298031
SUPERMARKET_2_019_NYC_1,add,add,5,18.270327377289515,60.88120525377223
SUPERMARKET_2_128_BOS_3,add,add,48,29.332692107921144,71.67812438229684
SUPERMARKET_2_181_BOS_1,add,add,52,53.668692532691935,62.315305903373584
SUPERMARKET_2_197_NYC_1,,add,5,43.6032735338412,59.495113184428675
SUPERMARKET_2_197_NYC_3,add,,3,12.036045226470725,67.82847883521057
SUPERMARKET_2_326_PHI_2,add,add,24,63.390371643381464,41.288339369025906
SUPERMARKET_2_360_BOS_3,,add,52,53.566467150477116,65.78009599378282
SUPERMARKET_2_360_PHI_1,,add,5,4.789402598499075,50.50443917572834
SUPERMARKET_2_360_PHI_2,add,add,12,98.76876976237462,46.1684554540704
SUPERMARKET_2_360_PHI_3,,add,4,51.79535974398161,54.77667871934804
SUPERMARKET_3_007_PHI_2,,add,52,273.4921039499235,99.06989330947619
SUPERMARKET_3_030_BOS_2,,,3,15.071499467559905,42.40321454620942
SUPERMARKET_3_030_BOS_3,,add,6,18.55995148369436,38.98856068181854
SUPERMARKET_3_042_PHI_1,add,add,3,10.449903945798946,62.85342650794941
SUPERMARKET_3_080_BOS_2,add,add,12,2.6810579038221323,54.07025578092824
SUPERMARKET_3_080_BOS_3,add,add,12,9.863675927105932,74.93418840706745
SUPERMARKET_3_080_NYC_1,add,,3,8.051441347419335,45.87971940416213
SUPERMARKET_3_080_NYC_2,,add,48,9.838310054044923,61.944495471493255
SUPERMARKET_3_080_NYC_4,,add,48,7.856720545707029,81.26491671397005
SUPERMARKET_3_080_PHI_1,,add,52,14.818895024654502,65.96347508405196
SUPERMARKET_3_090_BOS_1,add,add,3,34.35954844629998,46.959567903281716
SUPERMARKET_3_090_BOS_2,add,add,3,32.393757814046815,82.36812448974882
SUPERMARKET_3_090_BOS_3,,add,4,25.06241836611397,69.85280088729742
SUPERMARKET_3_090_NYC_1,add,add,3,40.58002190583075,49.35065701801607
SUPERMARKET_3_090_NYC_2,,add,3,74.03182340316913,63.556630937837376
SUPERMARKET_3_090_NYC_3,,add,3,24.037190431434368,205.55192955045462
SUPERMARKET_3_090_NYC_4,add,add,3,68.40048430973096,31.388295561606938
SUPERMARKET_3_090_PHI_1,add,add,3,20.21572617961963,38.84002149588874
SUPERMARKET_3_090_PHI_2,add,add,3,32.410710164316065,29.19422171010394
SUPERMARKET_3_090_PHI_3,add,,3,37.248876718230335,141.82412596575455
SUPERMARKET_3_099_BOS_2,,add,5,30.041542397675453,45.25128255429971
SUPERMARKET_3_099_NYC_1,add,,3,8.5086318809738,55.651089309455685
SUPERMARKET_3_099_NYC_4,add,add,52,5.77223171605434,77.02923441550205
SUPERMARKET_3_120_NYC_1,,add,24,80.66602092991452,46.91492406661465
SUPERMARKET_3_120_NYC_3,,add,5,52.428021709548325,90.2968608556413
SUPERMARKET_3_120_NYC_4,add,add,24,56.084073431130655,93.4317415068228
SUPERMARKET_3_120_PHI_3,,,3,35.8889077516906,36.116109711751236
SUPERMARKET_3_202_BOS_1,,add,4,18.594489081809154,31.067432339240508
SUPERMARKET_3_202_BOS_2,add,add,12,15.67919494658977,45.09360128861917
SUPERMARKET_3_202_BOS_3,,add,4,15.578413376973879,25.68842627388694
SUPERMARKET_3_202_NYC_1,add,add,3,11.848559074993029,54.44375908933733
SUPERMARKET_3_202_NYC_2,add,add,6,8.57458318165774,61.239124893272304
SUPERMARKET_3_202_NYC_3,add,,3,28.72000516192325,34.662859331063814
SUPERMARKET_3_202_NYC_4,add,add,6,18.399546956475728,59.09418006697912
SUPERMARKET_3_202_PHI_3,,add,5,16.22091214770246,42.684386559594714
SUPERMARKET_3_226_BOS_1,add,add,5,11.39547718443416,54.40755282041747
SUPERMARKET_3_226_PHI_1,,add,48,25.20272165793197,33.08734375772782
SUPERMARKET_3_226_PHI_2,add,add,5,36.30832358515357,42.268199660179974
SUPERMARKET_3_226_PHI_3,,add,24,31.701067339769626,47.077924579046886
SUPERMARKET_3_228_BOS_2,,add,5,8.143308897901331,65.8860609008051
SUPERMARKET_3_228_NYC_2,add,add,24,5.64386126384805,78.53294984470894
SUPERMARKET_3_234_BOS_1,,add,48,45.90193259188958,99.46009814581144
SUPERMARKET_3_234_BOS_2,,add,48,89.11730003187859,96.57086285385795
SUPERMARKET_3_234_PHI_2,,add,48,125.1581430278392,99.05432629057772
SUPERMARKET_3_234_PHI_3,add,add,5,64.41064080526083,35.321692119201984
SUPERMARKET_3_252_BOS_1,,add,24,30.574487476204993,28.718876571146257
SUPERMARKET_3_252_BOS_2,,add,52,53.64892032658468,63.281776135033915
SUPERMARKET_3_252_BOS_3,add,add,24,50.50034315650718,38.018538825506035
SUPERMARKET_3_252_NYC_1,add,add,5,18.564307227318594,35.796781081678205
SUPERMARKET_3_252_NYC_2,add,add,48,13.689709689081154,33.049441851594146
SUPERMARKET_3_252_NYC_3,,add,48,27.720998066589814,37.265615929782
SUPERMARKET_3_252_NYC_4,add,add,12,14.724405696966931,56.9511979277941
SUPERMARKET_3_252_PHI_1,,add,5,18.855245152926916,74.73632303374787
SUPERMARKET_3_252_PHI_3,,add,5,30.967741986961137,53.32111583467552
SUPERMARKET_3_281_NYC_3,,add,4,57.7823428930637,50.10202549580941
SUPERMARKET_3_282_NYC_1,add,add,24,11.2494713949494,37.79455216690185
SUPERMARKET_3_288_NYC_2,add,add,4,23.68438040407259,37.21984250553068
SUPERMARKET_3_295_BOS_2,,add,5,11.968626630006238,60.30094154707357
SUPERMARKET_3_295_PHI_1,,add,24,11.475488756271831,71.3655976087512
SUPERMARKET_3_318_NYC_1,,add,12,6.337398703614359,65.3609283406475
SUPERMARKET_3_318_NYC_2,,add,3,4.890390659452909,66.24791203092848
SUPERMARKET_3_318_NYC_3,,add,12,23.384591444052948,41.000665352927534
SUPERMARKET_3_318_NYC_4,,add,5,19.696636416423324,74.50736737178791
SUPERMARKET_3_318_PHI_1,,add,12,13.26106828784853,63.41670910278619
SUPERMARKET_3_318_PHI_2,add,add,48,40.619653865381586,23.12147288612023
SUPERMARKET_3_318_PHI_3,,,3,21.958941125941866,35.370574920271785
SUPERMARKET_3_319_NYC_2,,add,52,72.7625997634316,61.23611623943586
SUPERMARKET_3_319_NYC_3,,add,52,39.578456816783195,72.89595857989222
SUPERMARKET_3_319_NYC_4,add,add,52,5.884971662567905,96.8557133307243
SUPERMARKET_3_319_PHI_1,,add,52,33.10527085801836,84.0156913776967
SUPERMARKET_3_376_BOS_3,add,,3,3.11659378742627,71.34070365126338
SUPERMARKET_3_376_PHI_2,,add,48,59.791898989621934,29.00305919033292
SUPERMARKET_3_376_PHI_3,,add,48,121.49378815678583,58.24092266858698
SUPERMARKET_3_377_BOS_1,,add,24,10.58744892609481,65.57941041394221
SUPERMARKET_3_377_BOS_2,add,add,3,6.947428093763085,32.612368749192655
SUPERMARKET_3_377_BOS_3,,add,5,13.300735603891352,42.417961520281416
SUPERMARKET_3_412_PHI_2,add,add,52,40.535014389896034,71.69975967717109
SUPERMARKET_3_435_PHI_1,add,add,5,13.725862310590966,56.89679552610857
SUPERMARKET_3_435_PHI_3,,add,24,13.871628684272835,67.60158779904619
SUPERMARKET_3_455_BOS_1,,add,48,16.795358130529408,61.74575839362731
SUPERMARKET_3_458_NYC_4,add,add,48,5.899607835128017,76.30518341175095
SUPERMARKET_3_462_BOS_1,add,add,24,14.373051530426515,80.90298416052646
SUPERMARKET_3_462_PHI_2,add,add,12,33.01048321790636,41.10134367203814
SUPERMARKET_3_491_NYC_4,add,add,3,11.03839697683991,73.33712007942398
SUPERMARKET_3_491_PHI_1,add,add,52,5.611086248409803,49.69787887808802
SUPERMARKET_3_498_PHI_2,,add,12,54.07359755796724,40.47287053780087
SUPERMARKET_3_498_PHI_3,add,add,6,49.90128771811835,46.84439683554996
SUPERMARKET_3_501_BOS_2,,add,6,19.261599101970113,58.051630480846306
SUPERMARKET_3_501_NYC_4,,add,12,7.046742479956185,84.26990084699297
SUPERMARKET_3_541_BOS_1,add,add,52,14.912589903132567,91.32028432208728
SUPERMARKET_3_541_NYC_1,add,add,52,2.5004151996063353,98.80882616256486
SUPERMARKET_3_541_NYC_2,,add,52,59.98350156162752,66.00147610028361
SUPERMARKET_3_541_NYC_3,add,add,52,42.15244487105426,73.56656535679812
SUPERMARKET_3_541_NYC_4,add,add,52,7.535991659126977,96.78770656234039
SUPERMARKET_3_547_PHI_2,,add,5,88.78759184946749,42.04844099307966
SUPERMARKET_3_547_PHI_3,,add,52,26.633464087984617,70.98747334172901
SUPERMARKET_3_555_BOS_1,,,3,24.330430223648825,32.57026647207221
SUPERMARKET_3_555_BOS_2,,add,52,37.771926526976095,42.21064027359967
SUPERMARKET_3_555_BOS_3,,add,52,13.255802867458533,31.627010415714878
SUPERMARKET_3_555_NYC_1,,add,52,13.865880765887193,49.518400309112394
SUPERMARKET_3_555_NYC_2,add,add,52,16.892466669076295,42.994478503467214
SUPERMARKET_3_555_NYC_3,add,add,52,15.314359273790584,30.839421472410056
SUPERMARKET_3_555_PHI_1,add,add,24,4.4837604686603,73.20021774151009
SUPERMARKET_3_555_PHI_3,,add,5,16.736075983023927,33.16245336625071
SUPERMARKET_3_586_BOS_1,add,,3,49.93759963969377,53.69318062486636
SUPERMARKET_3_586_BOS_2,,add,12,73.98011574342415,142.544288912642
SUPERMARKET_3_586_BOS_3,add,add,24,38.76801921957245,77.85382962781182
SUPERMARKET_3_586_NYC_1,add,,3,6.0601352627199585,37.74601764289993
SUPERMARKET_3_586_NYC_2,,,3,33.13729061386987,36.4817424329956
SUPERMARKET_3_586_NYC_3,,add,48,29.543559420223076,92.896211033598
SUPERMARKET_3_586_NYC_4,add,add,52,7.736211481334273,55.44995519410543
SUPERMARKET_3_586_PHI_1,,add,24,15.631375697535336,59.85228161645284
SUPERMARKET_3_586_PHI_3,,add,5,12.779892306376587,30.67232709640182
SUPERMARKET_3_587_BOS_1,,add,12,72.6417564449778,29.454305995188644
SUPERMARKET_3_587_BOS_2,,add,5,28.97798644433162,34.2453469087591
SUPERMARKET_3_587_BOS_3,add,add,5,28.80638377764182,35.61650063989419
SUPERMARKET_3_587_NYC_1,add,add,5,78.16241728053143,36.02641616003622
SUPERMARKET_3_587_NYC_2,add,add,12,7.665840043067217,58.42293759433983
SUPERMARKET_3_587_NYC_3,add,add,48,22.08633904266165,38.456880731945894
SUPERMARKET_3_587_NYC_4,,add,6,42.298041211821115,72.4636485168239
SUPERMARKET_3_587_PHI_1,add,add,3,5.2296652815877005,60.322205348976745
SUPERMARKET_3_587_PHI_2,,add,6,47.53200995581135,25.337175501236782
SUPERMARKET_3_587_PHI_3,add,add,48,54.90007550954023,27.45138461764513
SUPERMARKET_3_607_BOS_1,,add,48,55.87325202373729,36.951544526076404
SUPERMARKET_3_607_BOS_2,,add,48,76.98045501307922,40.79606638655049
SUPERMARKET_3_607_BOS_3,,add,48,18.749566001946363,70.49309328308333
SUPERMARKET_3_607_NYC_3,,add,24,28.558228304509324,58.81987973431497
SUPERMARKET_3_635_BOS_1,add,add,52,8.416900245872148,96.37864018740878
SUPERMARKET_3_635_BOS_3,add,add,52,15.368109518630458,93.21974308658518
SUPERMARKET_3_635_NYC_1,,add,6,5.330253948939199,99.89349784418387
SUPERMARKET_3_635_NYC_2,,add,52,58.31729704306119,68.03079367066253
SUPERMARKET_3_635_NYC_3,add,add,52,78.00490370931169,58.3428614910101
SUPERMARKET_3_635_NYC_4,add,add,52,21.609706763199963,88.74399303583525
SUPERMARKET_3_668_PHI_1,add,add,3,8.207084200592144,65.92596976278328
SUPERMARKET_3_681_BOS_1,,add,3,62.746741367885626,45.58706857993805
SUPERMARKET_3_681_BOS_3,,add,3,163.6885192378146,34.07420337672843
SUPERMARKET_3_681_NYC_1,add,add,5,11.03260769121933,46.83069660516143
SUPERMARKET_3_681_NYC_3,add,add,3,20.722383206533397,29.296797851922086
SUPERMARKET_3_681_PHI_3,,add,3,14.47568524617267,44.658584490970824
SUPERMARKET_3_694_BOS_1,add,add,5,13.121790287720557,46.21463180241091
SUPERMARKET_3_694_BOS_2,add,add,48,9.043428806220623,48.726392290096605
SUPERMARKET_3_694_BOS_3,,add,52,17.073100873218056,37.233204110756645
SUPERMARKET_3_694_NYC_1,,add,6,2.331597296456622,69.32976191707607
SUPERMARKET_3_694_PHI_1,,,3,14.195090203176898,45.912332222074696
SUPERMARKET_3_694_PHI_2,add,add,4,25.681749581555604,35.53043897949563
SUPERMARKET_3_694_PHI_3,add,add,3,20.46900371587676,44.100407837331694
SUPERMARKET_3_711_PHI_2,,add,3,82.41789477433151,51.72001472859951
SUPERMARKET_3_714_BOS_1,add,add,5,28.46243843166208,53.387826656639156
SUPERMARKET_3_714_BOS_2,add,add,48,5.944454943462671,42.7639984369012
SUPERMARKET_3_714_BOS_3,,add,4,26.33333058871854,35.5281900302903
SUPERMARKET_3_714_NYC_1,add,add,3,16.47415292647552,43.45135095093761
SUPERMARKET_3_714_NYC_2,add,add,24,10.187900140059122,52.8907037513806
SUPERMARKET_3_714_NYC_3,add,add,52,4.027610511031381,31.643940348242438
SUPERMARKET_3_714_NYC_4,add,add,24,5.798275999143659,79.85292141669889
SUPERMARKET_3_714_PHI_1,add,add,5,39.92519995203734,63.55692292701317
SUPERMARKET_3_714_PHI_2,add,add,6,31.622807411539295,49.04707175709141
SUPERMARKET_3_714_PHI_3,add,add,5,23.655689574614915,37.959509089594775
SUPERMARKET_3_723_BOS_1,add,add,3,22.323327187860556,45.59143441402447
SUPERMARKET_3_723_BOS_2,add,,3,19.403273744504215,38.202725230620885
SUPERMARKET_3_723_BOS_3,add,add,3,28.281146512984964,42.37086947403947
SUPERMARKET_3_723_NYC_2,add,add,3,17.57903576268051,51.212987483685566
SUPERMARKET_3_723_NYC_3,,,3,7.898701138036555,32.68329176173898
SUPERMARKET_3_723_PHI_2,add,add,3,23.70520266058393,31.26073721454504
SUPERMARKET_3_723_PHI_3,add,add,3,15.380788221547242,31.363208805690455
SUPERMARKET_3_739_NYC_2,add,add,4,24.14764278826656,35.22941164519842
SUPERMARKET_3_741_NYC_1,add,,3,38.901332242355366,42.887861993917994
SUPERMARKET_3_752_NYC_3,add,add,6,26.32254358882134,63.10320602549658
SUPERMARKET_3_752_PHI_2,,add,24,159.26589406880004,84.45015928415849
SUPERMARKET_3_752_PHI_3,,add,48,107.8856895078814,99.76822296085291
SUPERMARKET_3_804_BOS_3,,add,12,9.862749046794809,58.54619720682873
SUPERMARKET_3_804_NYC_2,add,add,48,24.087104155609904,56.78693309422718
SUPERMARKET_3_808_BOS_1,add,add,52,19.019097311944314,90.82765357022625
SUPERMARKET_3_808_BOS_3,,,3,0.010000010357294064,99.9959154070483
SUPERMARKET_3_808_NYC_1,,add,52,13.303993523510458,96.69749874321494
SUPERMARKET_3_808_NYC_2,add,add,52,22.15886940600132,84.24285118003901
