ID,Trend,Seasonal,Seasonal_Periods,RMSE,MAPE
ACCESORIES_1_178_NYC_4,,add,52,34.80481495199321,99.93771205616318
ACCESORIES_1_371_NYC_4,,add,52,52.019181603768736,78.61347081703543
HOME_&_GARDEN_1_118_NYC_3,,add,5,20.119094448542654,49.09937716802068
SUPERMARKET_1_012_NYC_2,add,add,6,24.510772180411657,52.68386725585916
SUPERMARKET_1_046_PHI_1,add,add,3,27.148873175497222,61.05087227276733
SUPERMARKET_1_085_PHI_1,,add,4,34.12092033262399,51.59412104817367
SUPERMARKET_1_096_PHI_2,add,,3,28.607077952852215,169.5117521390494
SUPERMARKET_1_218_BOS_2,,add,6,18.8962750755726,51.149150290831514
SUPERMARKET_1_218_NYC_2,,add,48,43.22118083560884,48.983897229950045
SUPERMARKET_1_218_NYC_4,add,add,48,15.914144429317831,65.4962868925534
SUPERMARKET_1_218_PHI_1,add,add,6,17.91449038785249,60.049252649406284
SUPERMARKET_2_019_NYC_1,add,add,4,21.67972349442286,54.25937507971514
SUPERMARKET_2_128_BOS_3,,add,52,52.57950727290147,99.4517549192767
SUPERMARKET_2_181_BOS_1,add,add,52,36.47354918648184,45.3117175973848
SUPERMARKET_2_197_NYC_1,,add,5,24.52327914364765,46.56991617921825
SUPERMARKET_2_197_NYC_3,add,add,5,14.350299015338377,52.07356295103591
SUPERMARKET_2_326_PHI_2,,add,24,66.27754441814602,83.90743758124611
SUPERMARKET_2_360_BOS_3,,add,52,102.42011854835613,99.06404883577349
SUPERMARKET_2_360_PHI_1,,add,52,115.98110325038174,98.25959979888566
SUPERMARKET_2_360_PHI_2,,add,52,419.87290729963314,94.21728664779543
SUPERMARKET_2_360_PHI_3,,add,52,143.11867461263913,98.8326561787936
SUPERMARKET_3_007_PHI_2,,add,48,194.0813639017318,99.70723544389432
SUPERMARKET_3_030_BOS_2,add,,3,11.223965751835793,52.29624114194971
SUPERMARKET_3_030_BOS_3,,,3,19.78251425258215,53.62677353918255
SUPERMARKET_3_042_PHI_1,add,add,52,13.990630841238321,51.582350048302686
SUPERMARKET_3_080_BOS_2,add,add,3,9.208310562321937,53.36546331395675
SUPERMARKET_3_080_BOS_3,add,add,6,11.944450494061117,55.54536371850859
SUPERMARKET_3_080_NYC_1,,add,5,12.837690236333112,53.92429152417625
SUPERMARKET_3_080_NYC_2,,add,48,14.213173821522165,51.43383379868804
SUPERMARKET_3_080_NYC_4,,add,52,9.8317902641553,73.21705592224683
SUPERMARKET_3_080_PHI_1,,add,52,11.751828417738485,53.30304372341953
SUPERMARKET_3_090_BOS_1,,add,3,62.82865086438115,134.95907653956013
SUPERMARKET_3_090_BOS_2,,add,3,36.539834868555864,196.87448207682684
SUPERMARKET_3_090_BOS_3,add,,3,34.61271663727111,207.95572281955253
SUPERMARKET_3_090_NYC_1,,add,3,31.85232585988443,155.54913784136372
SUPERMARKET_3_090_NYC_2,,add,5,61.01778276627707,140.7962514552848
SUPERMARKET_3_090_NYC_3,add,add,5,85.58843039833859,476.5970292980457
SUPERMARKET_3_090_NYC_4,,add,3,43.653667074734265,57.13346347680183
SUPERMARKET_3_090_PHI_1,,add,6,27.466544961471275,46.50250048033625
SUPERMARKET_3_090_PHI_2,,add,4,53.71586304776495,59.36352316504797
SUPERMARKET_3_090_PHI_3,,,3,37.934153548536756,276.9954460142364
SUPERMARKET_3_099_BOS_2,,add,52,28.463638369421297,46.27088363633806
SUPERMARKET_3_099_NYC_1,,add,48,20.717215431880593,47.618180430262974
SUPERMARKET_3_099_NYC_4,add,add,52,8.011899907784878,58.844052456154984
SUPERMARKET_3_120_NYC_1,add,add,6,123.4696251713747,94.55052085829621
SUPERMARKET_3_120_NYC_3,,add,24,183.08544461841555,199.81333669412174
SUPERMARKET_3_120_NYC_4,add,add,5,34.34252699656266,70.63485387552272
SUPERMARKET_3_120_PHI_3,add,add,12,93.46591381437383,60.01710324316333
SUPERMARKET_3_202_BOS_1,add,add,3,16.549360319856216,59.5441646014663
SUPERMARKET_3_202_BOS_2,,,3,27.011890418304965,54.57521345632055
SUPERMARKET_3_202_BOS_3,,add,3,21.353623137605236,64.3993121623341
SUPERMARKET_3_202_NYC_1,add,,3,15.029547196402277,52.428057594416345
SUPERMARKET_3_202_NYC_2,add,add,6,20.323371286192998,57.73731620342036
SUPERMARKET_3_202_NYC_3,add,add,5,28.90046390001803,58.136095853772844
SUPERMARKET_3_202_NYC_4,add,add,6,17.98229306892786,55.49560088215433
SUPERMARKET_3_202_PHI_3,add,,3,21.59901634241218,53.22309146051961
SUPERMARKET_3_226_BOS_1,,,3,13.972804741474388,52.85860697071178
SUPERMARKET_3_226_PHI_1,,add,3,17.153091115247577,101.77037045562484
SUPERMARKET_3_226_PHI_2,,add,12,30.70072748250084,125.48410735072375
SUPERMARKET_3_226_PHI_3,add,,3,30.7364010251503,136.89922588222615
SUPERMARKET_3_228_BOS_2,,add,24,11.239675420363572,51.40354294477378
SUPERMARKET_3_228_NYC_2,add,add,6,12.261424898290736,64.01358585260549
SUPERMARKET_3_234_BOS_1,,add,48,32.35701636958095,99.54912812769419
SUPERMARKET_3_234_BOS_2,,add,48,70.5036478020631,99.11348721975148
SUPERMARKET_3_234_PHI_2,add,add,24,87.92435526983574,60.1827216064204
SUPERMARKET_3_234_PHI_3,add,,3,59.547015126799174,55.93301395175596
SUPERMARKET_3_252_BOS_1,,add,48,29.67818262820702,85.95503518552007
SUPERMARKET_3_252_BOS_2,,add,12,44.004094330194405,173.81828158019545
SUPERMARKET_3_252_BOS_3,add,add,5,35.411514571233724,99.15593998181077
SUPERMARKET_3_252_NYC_1,add,,3,21.854971537575743,89.89550634172686
